feature,FI_fold_1,FI_fold_2,FI_fold_3,FI_fold_4,FI_fold_5,FI_fold_6,FI_fold_7,FI_fold_8,FI_fold_9,FI_fold_10,FI_fold_11,FI_fold_12,mean_importance
MME_Min,0.0081,0.0068,0.0077,0.007,0.0075,0.0067,0.0081,0.0079,0.0068,0.0074,0.007,0.0074,0.0074
ChronicBackPain_Ever,0.0079,0.0081,0.0075,0.0064,0.007,0.0076,0.0075,0.0075,0.0062,0.007,0.0075,0.0076,0.0073
MyofascialPain_Ever,0.007,0.0075,0.0059,0.008,0.0076,0.0063,0.0078,0.0069,0.0058,0.0082,0.0077,0.0072,0.0072
ADHD_Ever,0.0063,0.0071,0.0075,0.0074,0.0067,0.0066,0.0064,0.0078,0.0076,0.007,0.007,0.0077,0.0071
NumRx_Codeine,0.0074,0.0064,0.0073,0.0064,0.0066,0.0074,0.0071,0.0073,0.0076,0.0073,0.0064,0.0075,0.0071
NumRx_Buprenorphine,0.006,0.0058,0.0064,0.0051,0.0054,0.0068,0.0069,0.007,0.0054,0.0067,0.0063,0.0063,0.0062
HIV_Ever,0.0054,0.0028,0.0032,0.005,0.0085,0.0047,0.0046,0.01,0.006,0.0066,0.0047,0.0056,0.0056
FamilyDisruption_Ever,0.0055,0.005,0.0053,0.0049,0.0061,0.0052,0.0067,0.0053,0.0048,0.0055,0.0052,0.0055,0.0054
HallucinogenUse_Ever,0.0,0.0064,0.0012,0.0003,0.0089,0.0,0.0084,0.0089,0.0032,0.0008,0.0078,0.0076,0.0045
NumRx_Methadone,0.0036,0.0037,0.0033,0.0027,0.0036,0.0036,0.0045,0.0046,0.0038,0.005,0.0044,0.0036,0.0039
NumRx_Fentanyl,0.0024,0.0018,0.001,0.0025,0.0022,0.003,0.0028,0.0028,0.0032,0.003,0.0038,0.0034,0.0027
NumRx_Tapentadol,0.0058,0.0045,0.0,0.0,0.0,0.0003,0.0054,0.003,0.0025,0.0,0.0013,0.0057,0.0024
NumRx_Oxymorphone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NumRx_Levorphanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
