,0
CocaineUse_Ever,0.1001
AlcoholUse_Ever,0.0812
StimulantUse_Ever,0.0651
MME_Max,0.0614
HepC_Ever,0.0579
CannabisUse_Ever,0.0425
Obesity_Ever,0.0323
TobaccoUse_Ever,0.0313
BipolarDisorder_Ever,0.0302
MaritalStatus,0.0269
TotalNumRx,0.0251
PainNEC_Ever,0.0231
Arthritis_Ever,0.0201
BirthSex,0.0177
Depression_Ever,0.0177
TotalDaysSupply_Max,0.0177
MME_Mean,0.0156
Age,0.0147
IndexType,0.0145
COPD_Ever,0.0143
NumRx_Oxycodone,0.0137
NumVisits,0.0129
NumRx_Hydrocodone,0.0127
MilitarySexualTrauma,0.0123
PTSD_Ever,0.0122
EatingDisorder_Ever,0.0117
TotalDaysSupply_Mean,0.0116
Schizophrenia_Ever,0.0113
Race,0.011
NumRx_Tramadol,0.0109
NumRx_Meperidine,0.0105
Asthma_Ever,0.0097
NumRx_Morphine,0.0094
NumFills_Min,0.009
TotalDaysSupply_Min,0.0089
HeartFailure_Ever,0.0088
Anxiety_Ever,0.0087
NumFills_Max,0.0087
Ethnicity,0.0085
NumFills_Mean,0.0085
MME_Min,0.0081
ChronicBackPain_Ever,0.0079
NumRx_Codeine,0.0074
NumRx_Hydromorphone,0.0072
Diabetes_Ever,0.0071
MyofascialPain_Ever,0.007
ADHD_Ever,0.0063
NumRx_Buprenorphine,0.006
NumRx_Tapentadol,0.0058
FamilyDisruption_Ever,0.0055
HIV_Ever,0.0054
NumRx_Methadone,0.0036
NumRx_Fentanyl,0.0024
NumRx_Oxymorphone,0.0
NumRx_Levorphanol,0.0
HallucinogenUse_Ever,0.0
