,0
CocaineUse_Ever,0.0896
AlcoholUse_Ever,0.0842
MME_Max,0.0607
StimulantUse_Ever,0.06
HepC_Ever,0.0548
CannabisUse_Ever,0.0452
Obesity_Ever,0.0364
BipolarDisorder_Ever,0.0323
MaritalStatus,0.0284
TobaccoUse_Ever,0.0269
TotalNumRx,0.0232
PainNEC_Ever,0.0212
Arthritis_Ever,0.0205
Depression_Ever,0.0189
TotalDaysSupply_Max,0.0174
BirthSex,0.0161
Age,0.0158
MME_Mean,0.0154
NumRx_Oxycodone,0.0139
COPD_Ever,0.0138
IndexType,0.0137
EatingDisorder_Ever,0.0132
MilitarySexualTrauma,0.013
Schizophrenia_Ever,0.0126
NumVisits,0.0124
TotalDaysSupply_Mean,0.0123
NumRx_Hydrocodone,0.0123
NumRx_Tramadol,0.0111
PTSD_Ever,0.0106
Race,0.0106
NumRx_Morphine,0.0104
HIV_Ever,0.01
Asthma_Ever,0.0099
NumRx_Meperidine,0.0092
HeartFailure_Ever,0.0089
HallucinogenUse_Ever,0.0089
NumFills_Min,0.0088
Ethnicity,0.0087
TotalDaysSupply_Min,0.0087
NumFills_Max,0.0086
Anxiety_Ever,0.0085
NumFills_Mean,0.0084
MME_Min,0.0079
ADHD_Ever,0.0078
ChronicBackPain_Ever,0.0075
NumRx_Hydromorphone,0.0074
NumRx_Codeine,0.0073
Diabetes_Ever,0.0072
NumRx_Buprenorphine,0.007
MyofascialPain_Ever,0.0069
FamilyDisruption_Ever,0.0053
NumRx_Methadone,0.0046
NumRx_Tapentadol,0.003
NumRx_Fentanyl,0.0028
NumRx_Levorphanol,0.0
NumRx_Oxymorphone,0.0
