,0
CocaineUse_Ever,0.0875
AlcoholUse_Ever,0.078
StimulantUse_Ever,0.0677
MME_Max,0.0579
HepC_Ever,0.0546
CannabisUse_Ever,0.0461
Obesity_Ever,0.033
BipolarDisorder_Ever,0.0277
TotalNumRx,0.0272
TobaccoUse_Ever,0.0271
MaritalStatus,0.0256
Arthritis_Ever,0.0254
PainNEC_Ever,0.0233
TotalDaysSupply_Max,0.0199
Depression_Ever,0.0193
BirthSex,0.0181
COPD_Ever,0.0166
MME_Mean,0.0163
Age,0.016
MilitarySexualTrauma,0.015
EatingDisorder_Ever,0.0148
IndexType,0.0142
NumRx_Oxycodone,0.0141
NumRx_Hydrocodone,0.0132
NumVisits,0.0131
Schizophrenia_Ever,0.0119
TotalDaysSupply_Mean,0.0117
NumRx_Tramadol,0.0114
Race,0.0107
Asthma_Ever,0.0105
PTSD_Ever,0.0103
Ethnicity,0.0103
NumFills_Min,0.0101
NumRx_Meperidine,0.0096
NumRx_Morphine,0.0096
NumFills_Max,0.0093
Diabetes_Ever,0.0091
TotalDaysSupply_Min,0.0089
NumFills_Mean,0.0086
HeartFailure_Ever,0.0084
MyofascialPain_Ever,0.0082
MME_Min,0.0074
NumRx_Codeine,0.0073
Anxiety_Ever,0.0073
ADHD_Ever,0.007
ChronicBackPain_Ever,0.007
NumRx_Buprenorphine,0.0067
HIV_Ever,0.0066
NumRx_Hydromorphone,0.0058
FamilyDisruption_Ever,0.0055
NumRx_Methadone,0.005
NumRx_Fentanyl,0.003
HallucinogenUse_Ever,0.0008
NumRx_Oxymorphone,0.0
NumRx_Levorphanol,0.0
NumRx_Tapentadol,0.0
