,0
CocaineUse_Ever,0.0917
AlcoholUse_Ever,0.0867
MME_Max,0.0628
StimulantUse_Ever,0.0585
HepC_Ever,0.0508
CannabisUse_Ever,0.0402
TobaccoUse_Ever,0.0354
Obesity_Ever,0.0348
MaritalStatus,0.0307
BipolarDisorder_Ever,0.0282
TotalNumRx,0.0262
Arthritis_Ever,0.0233
PainNEC_Ever,0.0224
BirthSex,0.0198
Depression_Ever,0.0192
TotalDaysSupply_Max,0.0181
Age,0.0161
MilitarySexualTrauma,0.0155
MME_Mean,0.0148
NumRx_Oxycodone,0.0141
EatingDisorder_Ever,0.014
COPD_Ever,0.0137
IndexType,0.0134
NumRx_Hydrocodone,0.0125
NumVisits,0.0118
TotalDaysSupply_Mean,0.0117
Diabetes_Ever,0.011
NumRx_Morphine,0.011
Race,0.0108
PTSD_Ever,0.0105
NumRx_Tramadol,0.0104
HeartFailure_Ever,0.0093
Asthma_Ever,0.0093
NumFills_Min,0.0092
Anxiety_Ever,0.009
NumFills_Mean,0.009
Ethnicity,0.0087
NumFills_Max,0.0086
TotalDaysSupply_Min,0.0084
NumRx_Hydromorphone,0.0083
ChronicBackPain_Ever,0.0081
Schizophrenia_Ever,0.0077
MyofascialPain_Ever,0.0075
ADHD_Ever,0.0071
MME_Min,0.0068
NumRx_Meperidine,0.0067
NumRx_Codeine,0.0064
HallucinogenUse_Ever,0.0064
NumRx_Buprenorphine,0.0058
FamilyDisruption_Ever,0.005
NumRx_Tapentadol,0.0045
NumRx_Methadone,0.0037
HIV_Ever,0.0028
NumRx_Fentanyl,0.0018
NumRx_Levorphanol,0.0
NumRx_Oxymorphone,0.0
