,0
CocaineUse_Ever,0.0944
AlcoholUse_Ever,0.0903
MME_Max,0.0701
StimulantUse_Ever,0.0623
HepC_Ever,0.0609
CannabisUse_Ever,0.0427
Obesity_Ever,0.0309
TobaccoUse_Ever,0.0286
BipolarDisorder_Ever,0.0275
MaritalStatus,0.0261
TotalNumRx,0.0258
PainNEC_Ever,0.0226
Arthritis_Ever,0.022
TotalDaysSupply_Max,0.0185
Depression_Ever,0.0184
BirthSex,0.0183
MME_Mean,0.0168
COPD_Ever,0.0167
Age,0.0164
MilitarySexualTrauma,0.0144
IndexType,0.0133
NumRx_Oxycodone,0.013
NumVisits,0.0128
NumRx_Hydrocodone,0.0128
TotalDaysSupply_Mean,0.0114
Asthma_Ever,0.0113
Schizophrenia_Ever,0.0111
NumRx_Morphine,0.011
NumRx_Tramadol,0.0108
HeartFailure_Ever,0.0103
Race,0.0101
NumFills_Min,0.0093
PTSD_Ever,0.0092
NumFills_Mean,0.0092
TotalDaysSupply_Min,0.0089
NumFills_Max,0.0088
Ethnicity,0.0088
EatingDisorder_Ever,0.0086
Diabetes_Ever,0.0086
MyofascialPain_Ever,0.008
Anxiety_Ever,0.008
ADHD_Ever,0.0074
NumRx_Hydromorphone,0.0071
MME_Min,0.007
ChronicBackPain_Ever,0.0064
NumRx_Codeine,0.0064
NumRx_Meperidine,0.0064
NumRx_Buprenorphine,0.0051
HIV_Ever,0.005
FamilyDisruption_Ever,0.0049
NumRx_Methadone,0.0027
NumRx_Fentanyl,0.0025
HallucinogenUse_Ever,0.0003
NumRx_Oxymorphone,0.0
NumRx_Levorphanol,0.0
NumRx_Tapentadol,0.0
