,0
AlcoholUse_Ever,0.0968
CocaineUse_Ever,0.0948
MME_Max,0.0689
StimulantUse_Ever,0.061
HepC_Ever,0.053
CannabisUse_Ever,0.0407
Obesity_Ever,0.0384
BipolarDisorder_Ever,0.0307
TobaccoUse_Ever,0.0287
MaritalStatus,0.0286
TotalNumRx,0.0251
Arthritis_Ever,0.0224
PainNEC_Ever,0.0222
TotalDaysSupply_Max,0.0176
Age,0.0173
MME_Mean,0.0162
Depression_Ever,0.0157
BirthSex,0.0153
COPD_Ever,0.0141
NumRx_Oxycodone,0.0134
NumVisits,0.0128
IndexType,0.0128
TotalDaysSupply_Mean,0.0123
MilitarySexualTrauma,0.0122
NumRx_Hydrocodone,0.0122
NumRx_Tramadol,0.012
EatingDisorder_Ever,0.0115
Asthma_Ever,0.0105
Race,0.0102
Schizophrenia_Ever,0.0098
NumRx_Morphine,0.0095
PTSD_Ever,0.0091
Diabetes_Ever,0.009
Ethnicity,0.0089
NumFills_Mean,0.0088
TotalDaysSupply_Min,0.0088
NumFills_Max,0.0084
NumRx_Meperidine,0.008
HeartFailure_Ever,0.008
NumRx_Codeine,0.0076
ADHD_Ever,0.0076
NumRx_Hydromorphone,0.0075
NumFills_Min,0.0074
MME_Min,0.0068
Anxiety_Ever,0.0066
ChronicBackPain_Ever,0.0062
HIV_Ever,0.006
MyofascialPain_Ever,0.0058
NumRx_Buprenorphine,0.0054
FamilyDisruption_Ever,0.0048
NumRx_Methadone,0.0038
HallucinogenUse_Ever,0.0032
NumRx_Fentanyl,0.0032
NumRx_Tapentadol,0.0025
NumRx_Levorphanol,0.0
NumRx_Oxymorphone,0.0
