,0
CocaineUse_Ever,0.0987
AlcoholUse_Ever,0.0735
StimulantUse_Ever,0.069
HepC_Ever,0.0634
MME_Max,0.0578
CannabisUse_Ever,0.0368
Obesity_Ever,0.0351
TobaccoUse_Ever,0.029
BipolarDisorder_Ever,0.0252
TotalNumRx,0.0251
MaritalStatus,0.0238
PainNEC_Ever,0.0228
Arthritis_Ever,0.022
Depression_Ever,0.0199
TotalDaysSupply_Max,0.0172
Age,0.0158
Schizophrenia_Ever,0.0156
BirthSex,0.0153
COPD_Ever,0.0148
MME_Mean,0.0145
NumRx_Oxycodone,0.014
MilitarySexualTrauma,0.0138
NumRx_Hydrocodone,0.0128
NumVisits,0.0125
IndexType,0.0125
EatingDisorder_Ever,0.012
NumRx_Tramadol,0.0113
Race,0.0113
TotalDaysSupply_Mean,0.0111
NumFills_Min,0.0109
NumRx_Meperidine,0.0102
Diabetes_Ever,0.0094
NumRx_Morphine,0.0093
NumFills_Mean,0.0092
Anxiety_Ever,0.0091
NumFills_Max,0.009
Asthma_Ever,0.0088
TotalDaysSupply_Min,0.0088
HeartFailure_Ever,0.0087
Ethnicity,0.0086
NumRx_Hydromorphone,0.0084
PTSD_Ever,0.008
ADHD_Ever,0.0077
ChronicBackPain_Ever,0.0076
HallucinogenUse_Ever,0.0076
NumRx_Codeine,0.0075
MME_Min,0.0074
MyofascialPain_Ever,0.0072
NumRx_Buprenorphine,0.0063
NumRx_Tapentadol,0.0057
HIV_Ever,0.0056
FamilyDisruption_Ever,0.0055
NumRx_Methadone,0.0036
NumRx_Fentanyl,0.0034
NumRx_Levorphanol,0.0
NumRx_Oxymorphone,0.0
