,0
CocaineUse_Ever,0.0948
AlcoholUse_Ever,0.083
MME_Max,0.0689
StimulantUse_Ever,0.0559
HepC_Ever,0.0532
CannabisUse_Ever,0.0443
Obesity_Ever,0.0394
TobaccoUse_Ever,0.031
BipolarDisorder_Ever,0.0303
MaritalStatus,0.0294
TotalNumRx,0.0254
Arthritis_Ever,0.0234
Depression_Ever,0.022
PainNEC_Ever,0.0214
TotalDaysSupply_Max,0.019
BirthSex,0.018
Age,0.0173
MME_Mean,0.015
NumRx_Oxycodone,0.0138
NumRx_Hydrocodone,0.0136
NumVisits,0.0133
MilitarySexualTrauma,0.0131
IndexType,0.013
COPD_Ever,0.0125
Schizophrenia_Ever,0.0116
TotalDaysSupply_Mean,0.0115
NumRx_Morphine,0.0105
NumRx_Tramadol,0.0104
Race,0.0102
NumFills_Max,0.0099
TotalDaysSupply_Min,0.0097
NumFills_Min,0.0096
HeartFailure_Ever,0.0096
Asthma_Ever,0.0094
EatingDisorder_Ever,0.0092
Anxiety_Ever,0.0092
Diabetes_Ever,0.0091
PTSD_Ever,0.0091
NumRx_Hydromorphone,0.0088
NumRx_Meperidine,0.0087
NumFills_Mean,0.0083
Ethnicity,0.008
MME_Min,0.0077
ChronicBackPain_Ever,0.0075
ADHD_Ever,0.0075
NumRx_Codeine,0.0073
NumRx_Buprenorphine,0.0064
MyofascialPain_Ever,0.0059
FamilyDisruption_Ever,0.0053
NumRx_Methadone,0.0033
HIV_Ever,0.0032
HallucinogenUse_Ever,0.0012
NumRx_Fentanyl,0.001
NumRx_Oxymorphone,0.0
NumRx_Levorphanol,0.0
NumRx_Tapentadol,0.0
