,0
CocaineUse_Ever,0.0913
AlcoholUse_Ever,0.0805
MME_Max,0.0575
StimulantUse_Ever,0.0575
HepC_Ever,0.0545
CannabisUse_Ever,0.0453
Obesity_Ever,0.034
TobaccoUse_Ever,0.0304
BipolarDisorder_Ever,0.0262
TotalNumRx,0.0254
PainNEC_Ever,0.0253
MaritalStatus,0.0252
Arthritis_Ever,0.02
Depression_Ever,0.0181
BirthSex,0.0179
Age,0.017
TotalDaysSupply_Max,0.0168
MilitarySexualTrauma,0.0162
MME_Mean,0.0162
NumRx_Oxycodone,0.0141
IndexType,0.0136
COPD_Ever,0.0134
NumVisits,0.0132
NumRx_Hydrocodone,0.0128
Asthma_Ever,0.0126
TotalDaysSupply_Mean,0.0122
NumRx_Tramadol,0.0118
Race,0.0117
NumRx_Morphine,0.0116
EatingDisorder_Ever,0.0114
NumFills_Max,0.0106
Schizophrenia_Ever,0.0101
Anxiety_Ever,0.0098
HeartFailure_Ever,0.0095
Ethnicity,0.0092
PTSD_Ever,0.009
TotalDaysSupply_Min,0.0089
NumFills_Min,0.0089
Diabetes_Ever,0.0086
NumRx_Hydromorphone,0.0085
NumRx_Meperidine,0.0085
HallucinogenUse_Ever,0.0084
NumFills_Mean,0.0084
MME_Min,0.0081
MyofascialPain_Ever,0.0078
ChronicBackPain_Ever,0.0075
NumRx_Codeine,0.0071
NumRx_Buprenorphine,0.0069
FamilyDisruption_Ever,0.0067
ADHD_Ever,0.0064
NumRx_Tapentadol,0.0054
HIV_Ever,0.0046
NumRx_Methadone,0.0045
NumRx_Fentanyl,0.0028
NumRx_Levorphanol,0.0
NumRx_Oxymorphone,0.0
