,0
CocaineUse_Ever,0.0931
AlcoholUse_Ever,0.0821
MME_Max,0.0615
StimulantUse_Ever,0.0593
HepC_Ever,0.0559
CannabisUse_Ever,0.0452
Obesity_Ever,0.0358
BipolarDisorder_Ever,0.0304
TobaccoUse_Ever,0.0291
MaritalStatus,0.0286
PainNEC_Ever,0.0263
TotalNumRx,0.0255
Arthritis_Ever,0.0228
BirthSex,0.0194
TotalDaysSupply_Max,0.0178
Depression_Ever,0.0178
MilitarySexualTrauma,0.0157
Age,0.0157
MME_Mean,0.0156
Schizophrenia_Ever,0.0146
IndexType,0.0146
COPD_Ever,0.0142
NumVisits,0.014
NumRx_Oxycodone,0.0137
NumRx_Hydrocodone,0.0131
NumRx_Tramadol,0.0127
TotalDaysSupply_Mean,0.0119
Race,0.0116
Asthma_Ever,0.0112
NumRx_Morphine,0.0108
EatingDisorder_Ever,0.0099
Ethnicity,0.0097
PTSD_Ever,0.0096
HeartFailure_Ever,0.0094
NumRx_Meperidine,0.009
NumFills_Min,0.0089
NumFills_Mean,0.0082
Diabetes_Ever,0.0079
ChronicBackPain_Ever,0.0076
NumFills_Max,0.0076
Anxiety_Ever,0.0074
NumRx_Codeine,0.0074
TotalDaysSupply_Min,0.0073
NumRx_Hydromorphone,0.007
NumRx_Buprenorphine,0.0068
MME_Min,0.0067
ADHD_Ever,0.0066
MyofascialPain_Ever,0.0063
FamilyDisruption_Ever,0.0052
HIV_Ever,0.0047
NumRx_Methadone,0.0036
NumRx_Fentanyl,0.003
NumRx_Tapentadol,0.0003
NumRx_Oxymorphone,0.0
NumRx_Levorphanol,0.0
HallucinogenUse_Ever,0.0
