,0
CocaineUse_Ever,0.0954
AlcoholUse_Ever,0.0792
MME_Max,0.0604
HepC_Ever,0.0582
StimulantUse_Ever,0.0557
CannabisUse_Ever,0.0382
Obesity_Ever,0.0367
BipolarDisorder_Ever,0.03
TobaccoUse_Ever,0.0283
Arthritis_Ever,0.0252
MaritalStatus,0.0239
PainNEC_Ever,0.0233
TotalNumRx,0.0228
Depression_Ever,0.0207
TotalDaysSupply_Max,0.0187
MME_Mean,0.0182
BirthSex,0.0161
COPD_Ever,0.0161
Age,0.0158
Schizophrenia_Ever,0.0155
NumRx_Oxycodone,0.0138
MilitarySexualTrauma,0.0135
IndexType,0.0133
NumVisits,0.013
TotalDaysSupply_Mean,0.0126
NumRx_Hydrocodone,0.0123
NumRx_Tramadol,0.0119
Race,0.0108
NumRx_Meperidine,0.0108
HeartFailure_Ever,0.0105
Asthma_Ever,0.0104
EatingDisorder_Ever,0.0097
Ethnicity,0.0097
NumRx_Morphine,0.0093
NumFills_Max,0.0093
Diabetes_Ever,0.0093
NumFills_Mean,0.0092
TotalDaysSupply_Min,0.0089
HallucinogenUse_Ever,0.0089
NumRx_Hydromorphone,0.0086
HIV_Ever,0.0085
PTSD_Ever,0.0085
Anxiety_Ever,0.0083
NumFills_Min,0.008
MyofascialPain_Ever,0.0076
MME_Min,0.0075
ChronicBackPain_Ever,0.007
ADHD_Ever,0.0067
NumRx_Codeine,0.0066
FamilyDisruption_Ever,0.0061
NumRx_Buprenorphine,0.0054
NumRx_Methadone,0.0036
NumRx_Fentanyl,0.0022
NumRx_Oxymorphone,0.0
NumRx_Levorphanol,0.0
NumRx_Tapentadol,0.0
